feedback_id,customer_id,product,review_text,review_date,language,channel
FB-00028,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,toys,Excellent product arrived on time and in perfect condition,2016-02-29,en,social
FB-00029,14296c07-f26b-4776-913e-4de2e0c53cb8,auto,Average product. Packaging could be better but item is undamaged,2018-04-15,en,email
FB-00030,c40db9b4-885f-4e66-82b6-d2c5fa5d3100,fashion_bags_accessories,Really happy with this purchase. Great quality for the price,2017-11-06,en,tv
FB-00031,43dac043-2a45-42ab-8cbf-edb0f264accc,musical_instruments,Works as expected. Nothing special but no complaints either,2017-03-09,en,social
FB-00032,badcc32a-c159-4f53-8a0f-4efbedcd465e,furniture_decor,Wonderful experience. Very professional seller and quick shipping,2017-02-12,en,paid_search
FB-00033,7394988f-847f-49b4-a64d-1bcb702753a1,baby,Really happy with this purchase. Great quality for the price,2016-08-18,en,email
FB-00034,8dcdcd03-969b-4662-8562-8059568cc69b,housewares,Acceptable product for everyday use. Delivery time was reasonable,2016-08-13,en,email
FB-00035,0f1259e0-a18f-46b6-b535-106e122c9a56,housewares,Five stars! The product is even better than I expected,2018-07-16,en,email
FB-00036,839fbc50-1223-4513-9496-f63cdc1110c1,housewares,Product arrived quickly and is exactly as described. Love it,2017-11-16,en,tv
FB-00037,b92da22b-21df-406f-8a0b-3c3336d8393a,food_drink,Satisfactory purchase. The product is functional as described,2017-04-29,en,social
FB-00038,683514f2-ceb8-4f9d-b914-c120c8dcd19f,furniture_decor,Impressive quality at this price point. Will buy again,2016-04-09,en,tv
FB-00039,778eedb3-693d-4fbc-ac6f-a6115ab33edf,computers_accessories,Do not buy this. Quality is dreadful and support is non-existent,2017-10-31,en,email
FB-00040,56dc8907-ba6c-44ab-a712-303a0f844fef,baby,Really happy with this purchase. Great quality for the price,2016-07-15,en,social
FB-00041,6c006f61-23e2-4cb4-b2d8-567d894a05e4,sports_leisure,Product arrived quickly and is exactly as described. Love it,2017-04-18,en,social
FB-00042,71710434-134c-4c92-ac5b-227cdfde4fbf,electronics,Impressive quality at this price point. Will buy again,2016-02-21,en,display
FB-00043,17e011b7-f810-4383-83c7-2ba8d605e770,housewares,Great experience from start to finish. Highly recommended,2017-02-20,en,tv
FB-00044,66aa9385-dd59-4a71-b6b8-24817b3a4e3e,computers_accessories,Great experience from start to finish. Highly recommended,2017-01-23,en,email
FB-00045,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,bed_bath_table,Great experience from start to finish. Highly recommended,2017-03-09,en,display
FB-00046,27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,furniture_decor,Outstanding build quality. Well packaged and delivered on time,2016-08-10,en,email
FB-00047,0f9aea4b-8acd-4e10-bc59-4585944528c0,telephony,Outstanding build quality. Well packaged and delivered on time,2016-02-21,en,display
FB-00048,da4bd9ca-eb5c-4467-80ba-cd647a0ecfea,musical_instruments,Product arrived quickly and is exactly as described. Love it,2016-02-28,en,display
FB-00049,118a9d29-2f92-4996-99f1-95d014822f53,office_furniture,Five stars! The product is even better than I expected,2017-11-22,en,social
FB-00050,e3e9de99-f10c-418b-9eb0-e38a675dd5af,food_drink,Really happy with this purchase. Great quality for the price,2017-08-15,en,display
FB-00051,6b5252e3-14fc-4d54-9e8f-c9650a2c827e,food_drink,It does what it says. Delivery was a bit slow though,2017-06-19,en,paid_search
FB-00052,ab73295b-344a-44b8-82c1-8a62ef48e8d5,telephony,Excellent product arrived on time and in perfect condition,2016-09-28,en,tv
FB-00053,4ccc9bc2-a53f-4a28-abf3-e3fc21813d25,bed_bath_table,Absolutely love it. Perfect size and excellent materials,2018-02-08,en,email
FB-00054,ff9ab5c2-9f04-4aed-b552-332702627f73,food_drink,Impressive quality at this price point. Will buy again,2016-03-16,en,display
FB-00055,21e8ac68-43e4-4caf-8181-a8cc369147eb,garden_tools,Five stars! The product is even better than I expected,2018-06-19,en,social
FB-00056,702cdd20-2862-48b8-88f4-ef125e9953d2,electronics,Five stars! The product is even better than I expected,2017-09-18,en,display
FB-00057,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,toys,Product does not work as advertised. Very dissatisfied,2016-04-16,en,social
FB-00058,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,electronics,Amazing quality! Exceeded my expectations completely,2016-10-05,en,paid_search
FB-00059,57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,furniture_decor,Not as described in the listing. Expected much better quality,2018-05-23,en,paid_search
FB-00060,e7c421c7-4049-4b71-bd10-6c6081627cf1,computers_accessories,Product looks even better in person. Very happy with the purchase,2017-10-11,en,tv
FB-00061,00e85ece-0b49-452d-86d4-83f3d450281c,telephony,Really happy with this purchase. Great quality for the price,2017-10-14,en,paid_search
FB-00062,8d3aed99-711c-41c9-bdc1-4f1f295d6fbf,perfumery,Average product. Packaging could be better but item is undamaged,2016-01-10,en,email
FB-00063,b0e6a969-e213-42b0-b1ee-dba313432e61,fashion_bags_accessories,Product is okay. Took longer to arrive than expected but works fine,2016-02-06,en,paid_search
FB-00064,6e068097-25e9-4977-8d72-48e2951f58d0,fashion_bags_accessories,Product arrived quickly and is exactly as described. Love it,2016-11-11,en,paid_search
FB-00065,f8e1daa7-cbce-4bde-aede-db07e623a689,computers_accessories,Excellent product arrived on time and in perfect condition,2016-08-03,en,social
FB-00066,c7b5b2bc-5a8a-4eca-9a50-aec3aabc25fa,electronics,Outstanding build quality. Well packaged and delivered on time,2017-09-27,en,social
FB-00067,dd56cc94-3c9a-414c-ae0c-aeb5ecfedb99,sports_leisure,Outstanding build quality. Well packaged and delivered on time,2018-06-21,en,tv
FB-00068,ecab3301-bc8f-4d29-adea-94930658663a,telephony,Outstanding build quality. Well packaged and delivered on time,2018-04-01,en,social
FB-00069,b386f7a4-c991-403f-a8c1-3091444d610b,baby,Very satisfied and would definitely buy again from this seller,2018-06-12,en,email
FB-00070,33173470-38f1-4a81-b87f-2425dbccc477,bed_bath_table,Everything is perfect. Packaging was careful and item undamaged,2016-11-08,en,social
FB-00071,3170f437-a8f7-4f5a-860e-df5b39118497,books_general_interest,Impressive quality at this price point. Will buy again,2016-10-12,en,email
FB-00072,59e4b671-4774-4c58-85f8-bc16f7860b50,musical_instruments,Great experience from start to finish. Highly recommended,2017-11-26,en,display
FB-00073,1d870966-0710-4430-b071-d87954c63cd8,watches_gifts,Outstanding build quality. Well packaged and delivered on time,2017-08-17,en,paid_search
FB-00074,6f3f920c-98b8-44cc-9bc0-44fc09cb3942,garden_tools,Absolutely love it. Perfect size and excellent materials,2017-03-22,en,display
FB-00075,629c2ae3-1d9a-4659-82ec-9f2dfbf6e16f,food_drink,Wonderful experience. Very professional seller and quick shipping,2016-09-17,en,email
FB-00076,85197ff4-006e-46e3-afa1-7735b572f3d0,electronics,The item was the wrong size and returning it is a nightmare,2016-07-20,en,paid_search
FB-00077,aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,telephony,Poor quality. Broke on first use. Would not recommend,2016-11-17,en,email
FB-00078,81d2c7de-4ce1-4b90-a669-7833b841d0a0,toys,The item was the wrong size and returning it is a nightmare,2017-02-22,en,paid_search
FB-00079,8dedf9fb-4bb0-4f20-b27c-40266703b636,fashion_bags_accessories,Wonderful experience. Very professional seller and quick shipping,2017-03-06,en,tv
FB-00080,2c8d0e44-e71e-43a6-bf85-bf0ead64b56c,office_furniture,It does what it says. Delivery was a bit slow though,2016-11-04,en,tv
FB-00081,4dcabfb7-001a-4a8b-956f-03508c459ce2,toys,Product looks even better in person. Very happy with the purchase,2017-03-16,en,display
FB-00082,77097749-527e-4cfa-a79a-c9aa9b4e2c24,bed_bath_table,Product looks even better in person. Very happy with the purchase,2017-11-22,en,social
FB-00083,e6b3c944-cb32-4e35-b922-bac282dc4c8e,sports_leisure,Product does not work as advertised. Very dissatisfied,2016-03-27,en,paid_search
FB-00084,9e87e04c-a208-4977-a9f2-533683f4a9a9,telephony,Product looks even better in person. Very happy with the purchase,2018-04-18,en,social
FB-00085,ce7ae7f6-3982-4cff-8f77-a665ac3c5640,furniture_decor,Very satisfied and would definitely buy again from this seller,2016-01-26,en,email
FB-00086,9c7c7377-79a2-4903-bbe3-3b243eae0032,auto,Seller communicated well and shipping was faster than expected,2017-02-28,en,display
FB-00087,624c69b6-b244-45a7-b7e5-848131c681ec,cool_stuff,Great experience from start to finish. Highly recommended,2016-09-06,en,social
FB-00088,e4855aa1-016b-4287-b008-05cca7f36ae9,baby,Wonderful experience. Very professional seller and quick shipping,2016-08-12,en,social
FB-00089,8498e113-b227-462c-b53d-4330cdda24ba,bed_bath_table,Great experience from start to finish. Highly recommended,2017-07-24,en,social
FB-00090,74daaebf-1f11-4b76-992c-9227eadf5085,fashion_bags_accessories,Everything is perfect. Packaging was careful and item undamaged,2017-11-14,en,display
FB-00091,513a7052-986f-4025-8f15-ba58fce68504,bed_bath_table,Very disappointed. The product stopped working after two days,2018-04-14,en,display
FB-00092,8c41561b-e827-41b9-94a0-2e536d3ee1dc,bed_bath_table,Product arrived quickly and is exactly as described. Love it,2018-01-31,en,tv
FB-00093,3f4b1a70-c074-418e-825a-609f7337c599,watches_gifts,Acceptable product for everyday use. Delivery time was reasonable,2017-05-11,en,social
FB-00094,b6aae05b-13d5-42f7-b09b-7d97464c04af,toys,Excellent product arrived on time and in perfect condition,2016-10-05,en,paid_search
FB-00095,14a0bccb-8a47-4a87-a49d-681d51d87c64,fashion_bags_accessories,Amazing quality! Exceeded my expectations completely,2016-08-24,en,tv
FB-00096,36c59dac-b4d7-428e-a71e-3ee2b1a6b1f1,auto,Five stars! The product is even better than I expected,2017-02-21,en,paid_search
FB-00097,0ff0a55c-6a70-4e2f-b746-d0ba8ae8905b,furniture_decor,Five stars! The product is even better than I expected,2017-02-02,en,display
FB-00098,db52ca58-0500-4bc6-b20d-cb6ef2311f17,food_drink,Very satisfied and would definitely buy again from this seller,2017-05-03,en,email
FB-00099,c0e3befd-4c71-40fe-9a0c-dd7cf1578470,books_general_interest,Five stars! The product is even better than I expected,2017-07-05,en,display
FB-00100,3875394c-e5d6-46e6-9a6e-c2f5ccc42903,cool_stuff,Seller communicated well and shipping was faster than expected,2016-10-06,en,tv
FB-00101,560c95ee-638c-454c-876e-2bba7c5308bf,books_general_interest,Great experience from start to finish. Highly recommended,2018-05-10,en,tv
FB-00102,9f4c3b79-fb10-487f-a0ac-3703eb67146a,electronics,Very satisfied and would definitely buy again from this seller,2018-07-17,en,tv
FB-00103,06f028ff-a9ba-4a27-907b-fe36978648f8,auto,Awful experience. Seller was unresponsive and product is defective,2017-03-14,en,social
FB-00104,0cdf742b-2e85-4b21-b631-de9ddde9f863,watches_gifts,Very satisfied and would definitely buy again from this seller,2016-12-01,en,social
FB-00105,c2dff335-5666-4f9f-93ac-2ab974672cd9,books_general_interest,Product arrived quickly and is exactly as described. Love it,2018-02-09,en,tv
FB-00106,78660765-14f7-4e8d-95bc-b8d04094dded,health_beauty,Product is okay. Took longer to arrive than expected but works fine,2016-02-23,en,paid_search
FB-00107,c7fee39f-1190-4938-a66f-d7f739669fa7,computers_accessories,Very satisfied and would definitely buy again from this seller,2016-09-10,en,social
FB-00108,2702878b-9f0f-4a8d-8537-9ff6d6d7b3b8,housewares,Really happy with this purchase. Great quality for the price,2017-04-29,en,email
FB-00109,770c7798-37cc-463b-b2a0-345990604f62,watches_gifts,Fast delivery and the item matches the description perfectly,2016-06-20,en,display
FB-00110,b7e6427c-bf78-4e3f-b6b7-51f79b749245,baby,Product arrived quickly and is exactly as described. Love it,2016-11-14,en,email
FB-00111,4fdc6e1b-edcb-4cb6-8692-dc639424aed5,food_drink,Do not buy this. Quality is dreadful and support is non-existent,2018-07-18,en,tv
FB-00112,32c5bd89-b70b-4420-b104-3785658b2523,auto,Acceptable product for everyday use. Delivery time was reasonable,2017-12-08,en,social
FB-00113,4d3485c5-c5c1-4eb4-b27b-3d901a16342c,office_furniture,Excellent product arrived on time and in perfect condition,2018-03-26,en,display
FB-00114,8861fe18-58e2-4888-8a83-81bec85aca46,perfumery,Product does not work as advertised. Very dissatisfied,2017-01-14,en,email
FB-00115,033d2bce-575a-4d2c-a5c5-650c8186a576,perfumery,Average product. Packaging could be better but item is undamaged,2016-04-18,en,tv
FB-00116,e43e4288-a2b5-4498-9cb8-5aedf5f62c97,bed_bath_table,Amazing quality! Exceeded my expectations completely,2017-03-21,en,social
FB-00117,a6846099-f729-4951-8591-31d2bbda0242,watches_gifts,Very disappointed. The product stopped working after two days,2018-04-07,en,display
FB-00118,6f81cf4f-7701-47bb-bbc6-7e1fc64ee6e3,food_drink,Amazing quality! Exceeded my expectations completely,2016-11-26,en,social
FB-00119,4767d76c-162f-4a24-af43-613cd4aac9a3,bed_bath_table,Really happy with this purchase. Great quality for the price,2018-02-07,en,tv
FB-00120,6105716b-ab0e-464e-9c3e-b2d591e1aa96,telephony,Very satisfied and would definitely buy again from this seller,2017-05-21,en,paid_search
FB-00121,5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,watches_gifts,Seller communicated well and shipping was faster than expected,2016-10-13,en,display
FB-00122,8e485223-46b9-4991-a14e-b70db380c73a,health_beauty,Acceptable product for everyday use. Delivery time was reasonable,2016-07-14,en,email
FB-00123,7d137018-680b-4c63-b856-d0353dc98290,electronics,Excellent product arrived on time and in perfect condition,2017-12-08,en,tv
FB-00124,72bb912d-7da6-4785-b63b-4dc3a559e463,health_beauty,Product looks even better in person. Very happy with the purchase,2016-10-28,en,social
FB-00125,4e6384bb-3e49-4f43-b118-f68d6786d506,food_drink,Fast delivery and the item matches the description perfectly,2017-04-29,en,display
FB-00126,ff233d5f-6ced-415d-9800-7c0287ea7ff5,electronics,Impressive quality at this price point. Will buy again,2016-12-26,en,tv
FB-00127,3b048a8b-405b-4dc9-8e7e-d827455ac762,baby,Wonderful experience. Very professional seller and quick shipping,2016-11-19,en,email
FB-00128,c31edbbc-f36c-462b-892e-6161be2d740a,sports_leisure,Wonderful experience. Very professional seller and quick shipping,2016-08-09,en,tv
FB-00129,fa02eaec-96ef-4ad6-b97e-670346c8adfe,musical_instruments,Item matches the photos. Packaging was minimal but contents were fine,2016-10-16,en,email
FB-00130,3a3c563e-4bd6-4ee6-b1b1-b099d52721e7,garden_tools,Outstanding build quality. Well packaged and delivered on time,2016-11-05,en,email
FB-00131,4639447b-2067-4dac-88bd-13d1b540b30e,computers_accessories,Great experience from start to finish. Highly recommended,2017-07-20,en,paid_search
FB-00132,a34b6cf6-2053-4a42-b1af-db65b289f224,cool_stuff,Seller communicated well and shipping was faster than expected,2018-06-12,en,email
FB-00133,7a8d03aa-782a-45e0-88ca-765192f5df7b,bed_bath_table,Seller communicated well and shipping was faster than expected,2016-07-07,en,email
FB-00134,7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,baby,Five stars! The product is even better than I expected,2017-02-14,en,tv
FB-00135,afbb411a-a123-4a8c-93b7-a88612f70c97,computers_accessories,Amazing quality! Exceeded my expectations completely,2016-06-01,en,display
FB-00136,fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,housewares,Excellent product arrived on time and in perfect condition,2017-07-25,en,tv
FB-00137,9e50aa42-ca6d-4da1-989b-c4da9b37a22b,housewares,Acceptable product for everyday use. Delivery time was reasonable,2017-01-24,en,tv
FB-00138,dc33e1f9-4c1f-45ab-b156-29eee893be3d,food_drink,Wonderful experience. Very professional seller and quick shipping,2016-11-08,en,display
FB-00139,f5c9b047-9c10-4572-8f6b-40d09efba58b,baby,Product looks even better in person. Very happy with the purchase,2017-10-02,en,social
FB-00140,2834e4c0-14c8-43b4-a911-d19243bfd931,housewares,Outstanding build quality. Well packaged and delivered on time,2017-07-19,en,email
FB-00141,735435ea-6894-4b8d-80af-5b3a2812859a,office_furniture,Product is okay. Took longer to arrive than expected but works fine,2016-10-25,en,email
FB-00142,48603b32-b4fb-4eb9-89c1-3de73b4206c5,bed_bath_table,Wonderful experience. Very professional seller and quick shipping,2017-12-04,en,social
FB-00143,ca8f3653-c9af-48f8-83b9-da13ec856f37,food_drink,Product does not work as advertised. Very dissatisfied,2018-04-03,en,social
FB-00144,398d1ca6-8b68-40b5-9d61-fac36cd5e859,fashion_bags_accessories,Amazing quality! Exceeded my expectations completely,2018-04-26,en,social
FB-00145,cae9b4a7-2a79-4a68-8f44-704f1247ea4e,toys,Item matches the photos. Packaging was minimal but contents were fine,2018-02-05,en,display
FB-00146,1fd5a423-706c-4c56-89e2-623debd34616,bed_bath_table,Five stars! The product is even better than I expected,2017-12-17,en,tv
FB-00147,8a3c3b5e-801e-41da-85b1-ed25f1533ae8,cool_stuff,Product looks even better in person. Very happy with the purchase,2016-03-23,en,display
FB-00148,bc0a6a5d-6e99-4e3e-a3b1-37fc0a3450fc,telephony,Works as expected. Nothing special but no complaints either,2016-09-13,en,email
FB-00149,ac9ed156-f63f-4e41-ba9a-ca5e176132ed,food_drink,Acceptable product for everyday use. Delivery time was reasonable,2016-01-22,en,paid_search
FB-00150,c19ad58c-c35b-4c8c-8a4c-9f7f9384ec2b,sports_leisure,Product is okay. Took longer to arrive than expected but works fine,2017-06-15,en,tv
FB-00151,ff37d19c-2e76-428b-8735-44f9ea83bf00,food_drink,Absolutely love it. Perfect size and excellent materials,2017-10-12,en,tv
FB-00152,5913f9d3-7852-49f4-975b-a98df8140102,perfumery,Impressive quality at this price point. Will buy again,2016-11-24,en,email
FB-00153,6961929e-546e-435a-a92b-d156db946570,cool_stuff,Great experience from start to finish. Highly recommended,2017-11-09,en,tv
FB-00154,0964fbbf-8cd3-41b0-82b0-1cfdd045dd1c,bed_bath_table,Product looks even better in person. Very happy with the purchase,2016-11-18,en,paid_search
FB-00155,c5c5b37a-f85e-46a1-9dad-09b252c21221,books_general_interest,Neither impressed nor disappointed. Standard quality and average shipping,2018-04-24,en,email
FB-00156,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,perfumery,Great experience from start to finish. Highly recommended,2016-07-11,en,display
FB-00157,7f9d3e64-c1a6-423b-9f64-eeed5c9d927d,bed_bath_table,Great experience from start to finish. Highly recommended,2016-07-27,en,paid_search
FB-00158,49bc473f-ed7b-4656-a18a-15368c99a894,bed_bath_table,Average product. Packaging could be better but item is undamaged,2016-05-04,en,email
FB-00159,cc9fd334-9bdf-4377-a149-23c2f920264c,housewares,Product arrived quickly and is exactly as described. Love it,2016-11-14,en,display
FB-00160,17dc8eff-6872-43f9-8d60-593603802b70,housewares,Everything is perfect. Packaging was careful and item undamaged,2017-04-17,en,email
FB-00161,7f95897c-276a-46ce-9507-55d9a5d04d53,toys,Neither impressed nor disappointed. Standard quality and average shipping,2017-12-23,en,paid_search
FB-00162,faf14ff0-7b85-479a-95b0-77e06a5d932b,cool_stuff,Really happy with this purchase. Great quality for the price,2017-04-12,en,display
FB-00163,ebff8d15-30cb-4755-a232-b17a25074181,office_furniture,Neither impressed nor disappointed. Standard quality and average shipping,2018-02-03,en,social
FB-00164,c5ce099c-46b8-4659-91df-12d7dd30de89,perfumery,Seller communicated well and shipping was faster than expected,2018-03-17,en,display
FB-00165,486822b9-00a8-4de9-920f-87d044656d6b,toys,Acceptable product for everyday use. Delivery time was reasonable,2017-08-16,en,tv
FB-00166,89e06ab3-7250-4e18-a60a-5962dd81b7f5,cool_stuff,Everything is perfect. Packaging was careful and item undamaged,2016-12-06,en,display
FB-00167,749176f4-6090-4697-8b1e-3b9dc34b9fbb,telephony,Wonderful experience. Very professional seller and quick shipping,2017-12-15,en,social
FB-00168,db23aa8c-3bca-4f85-a20a-60ac9261549d,perfumery,Product arrived quickly and is exactly as described. Love it,2016-11-21,en,tv
FB-00169,61985d54-cfb8-4e6f-a9d6-8f23b489d070,books_general_interest,Product does not work as advertised. Very dissatisfied,2018-03-22,en,social
FB-00170,2051acef-097a-4e10-b6fe-bc0e7ecddbaf,musical_instruments,Acceptable product for everyday use. Delivery time was reasonable,2016-12-05,en,email
FB-00171,1986b4b2-70b7-4868-9854-80f0dfcaf0b7,musical_instruments,Seller communicated well and shipping was faster than expected,2016-01-16,en,social
FB-00172,f84f16b3-a79f-4faf-9ef5-768968f45bce,fashion_bags_accessories,Wonderful experience. Very professional seller and quick shipping,2017-04-25,en,paid_search
FB-00173,65c17795-b155-46bc-9f8d-ed9756abf2f1,auto,Impressive quality at this price point. Will buy again,2018-05-22,en,display
FB-00174,a075e927-5110-4492-b442-7e0b61484bb3,cool_stuff,Product is okay. Took longer to arrive than expected but works fine,2016-02-06,en,display
FB-00175,af34cf65-a193-44b2-bc19-e71d118405ad,toys,Everything is perfect. Packaging was careful and item undamaged,2018-02-03,en,email
FB-00176,c2a79689-1933-418c-ba74-57616f18c108,baby,Product looks even better in person. Very happy with the purchase,2016-06-19,en,paid_search
FB-00177,530a37df-0bc6-4066-8769-165fe746ccb9,computers_accessories,Outstanding build quality. Well packaged and delivered on time,2017-01-02,en,paid_search
FB-00178,87fa841a-3e83-491f-a544-0fe06e417d47,perfumery,It does what it says. Delivery was a bit slow though,2017-11-29,en,social
FB-00179,9c07a751-1437-4509-acd1-586a2b840c67,books_general_interest,Poor quality. Broke on first use. Would not recommend,2017-11-30,en,social
FB-00180,24a35cf2-9549-4931-a9af-299d7f671eec,housewares,Everything is perfect. Packaging was careful and item undamaged,2017-10-15,en,paid_search
FB-00181,0267deb3-aab6-42c9-815d-174a75a66981,bed_bath_table,Great experience from start to finish. Highly recommended,2017-11-24,en,display
FB-00182,f1faf665-7115-43f3-92e8-9d1028711733,garden_tools,Acceptable product for everyday use. Delivery time was reasonable,2016-11-02,en,tv
FB-00183,d865d69a-74f3-4103-8006-6ff2b0b862ef,toys,Absolutely love it. Perfect size and excellent materials,2017-01-28,en,tv
FB-00184,92698698-61a1-4729-bcb9-83501b4da0fe,garden_tools,Satisfactory purchase. The product is functional as described,2016-10-29,en,paid_search
FB-00185,a881bfd3-d47d-477b-ba5a-91ca059dd55d,books_general_interest,Product arrived quickly and is exactly as described. Love it,2016-01-09,en,display
FB-00186,bea29dfe-c73f-4e1b-af90-8e3cdd750e98,computers_accessories,Works as expected. Nothing special but no complaints either,2018-02-02,en,tv
FB-00187,4944051b-e726-4e23-a776-b886d534ee1d,housewares,Works as expected. Nothing special but no complaints either,2018-04-01,en,paid_search
FB-00188,9ef2b93e-30ac-4d7b-a2f9-63a33810ae66,watches_gifts,Do not buy this. Quality is dreadful and support is non-existent,2018-02-12,en,social
FB-00189,a0a11839-e745-4704-98df-bc3ca0d4de3d,computers_accessories,Wonderful experience. Very professional seller and quick shipping,2018-03-18,en,tv
FB-00190,bb7bee03-5d67-4bb1-945e-f2e4088a93ec,fashion_bags_accessories,Product looks even better in person. Very happy with the purchase,2018-07-20,en,paid_search
FB-00191,2cf6bf75-6a5e-4920-bf5a-e7e653a3dd5a,furniture_decor,Really happy with this purchase. Great quality for the price,2018-03-16,en,display
FB-00192,87e5f0fe-5da8-46d2-b8b3-8a8be05fb8bc,musical_instruments,Amazing quality! Exceeded my expectations completely,2018-04-30,en,social
FB-00193,f1b64afe-d31e-4f1a-a9ff-1cae41c8ca8c,cool_stuff,Outstanding build quality. Well packaged and delivered on time,2018-02-03,en,paid_search
FB-00194,f6802cdb-77e4-40c7-9d7b-c313cde22f1c,auto,Very satisfied and would definitely buy again from this seller,2018-02-11,en,social
FB-00195,aca5e2fd-b966-442a-ad23-8d36dc322c97,books_general_interest,Average product. Packaging could be better but item is undamaged,2017-01-09,en,email
FB-00196,43b38eb4-0390-4c5d-a502-d6a2ca6a2224,electronics,Excellent product arrived on time and in perfect condition,2017-04-10,en,paid_search
FB-00197,431d029f-ac1e-46d8-bfbf-397bac3e7b0d,food_drink,Very satisfied and would definitely buy again from this seller,2018-04-22,en,paid_search
FB-00198,78b2b549-3bdb-409e-acc2-16a01bbc91f7,health_beauty,Poor quality. Broke on first use. Would not recommend,2018-06-24,en,display
