iso_week,week_start_date,weekly_revenue,tv_spend,paid_search_spend,social_spend,email_spend,display_spend,holiday_flag,black_friday_flag,competitor_index,avg_temperature
2016-W44,2016-10-31,102152.34,126222.15,22236.03,21551.23,3587.81,11570.9,1,0,0.9002,21.0
2016-W45,2016-11-07,123075.86,134015.88,18857.84,20631.52,4624.81,9352.47,0,0,0.897,22.0
2016-W46,2016-11-14,125443.86,136160.95,21581.46,15478.07,3592.31,9288.9,1,0,0.9027,22.0
2016-W47,2016-11-21,132671.74,129022.4,26874.76,22386.7,3112.13,9957.06,1,1,0.9178,22.0
2016-W48,2016-11-28,128534.4,115649.68,24611.58,17929.72,3939.9,10359.54,0,0,1.0454,22.0
2016-W49,2016-12-05,150939.39,125858.46,26640.25,19245.68,4406.98,7388.3,0,0,1.0792,23.0
2016-W50,2016-12-12,146520.97,118474.74,22706.5,21135.76,3882.44,7176.43,0,0,1.0505,23.0
2016-W51,2016-12-19,150578.63,133536.71,23679.49,21325.72,4583.76,12732.49,1,0,1.089,23.0
2016-W52,2016-12-26,155974.23,123204.82,18447.15,24664.94,4075.2,8215.62,1,0,1.0741,23.0
2017-W01,2017-01-02,80448.3,103698.53,19585.79,15053.49,4304.16,8924.47,0,0,1.0542,23.5
2017-W02,2017-01-09,88638.82,104211.22,13366.72,14088.22,2057.52,9060.58,0,0,1.0902,23.5
2017-W03,2017-01-16,88740.88,91013.54,18342.59,12867.56,3800.12,8169.77,0,0,1.091,23.5
2017-W04,2017-01-23,88716.75,82294.85,21080.02,12940.37,3010.27,8447.38,0,0,1.1017,23.5
2017-W05,2017-01-30,92180.92,84594.05,12747.24,10129.89,3309.83,10640.07,0,0,1.1018,23.5
2017-W06,2017-02-06,111647.93,91707.07,17284.64,9124.71,3627.8,11771.25,0,0,1.1147,24.0
2017-W07,2017-02-13,96091.71,83123.65,11733.85,9874.49,4590.84,8682.03,0,0,1.1311,24.0
2017-W08,2017-02-20,110543.25,79393.03,18468.66,10387.43,4683.28,7973.65,0,0,1.053,24.0
2017-W09,2017-02-27,92433.38,86123.21,11784.22,11578.2,2598.85,7245.68,1,0,1.0794,24.0
2017-W10,2017-03-06,121829.62,94722.78,20998.91,13519.18,3831.2,8415.17,0,0,1.0397,23.0
2017-W11,2017-03-13,127698.61,91320.77,12798.73,14484.7,3941.51,10044.86,0,0,0.9818,23.0
2017-W12,2017-03-20,133028.12,81802.49,21426.37,13088.37,2736.55,7885.22,0,0,0.9796,23.0
2017-W13,2017-03-27,135765.72,72540.47,20824.57,12505.61,2008.44,7744.24,0,0,0.983,23.0
2017-W14,2017-04-03,138157.13,70371.45,18247.87,10743.27,1723.26,11292.79,0,0,0.9554,21.0
2017-W15,2017-04-10,129234.8,66896.46,20128.67,13003.76,3918.19,7243.89,1,0,0.9889,21.0
2017-W16,2017-04-17,129728.61,75380.69,20560.68,11737.83,3165.01,8299.98,1,0,0.9352,21.0
2017-W17,2017-04-24,143835.24,70203.14,22436.43,8983.61,4614.87,10174.34,0,0,0.9193,21.0
2017-W18,2017-05-01,135485.25,74268.79,14406.06,10940.64,3125.66,7463.74,1,0,0.8963,18.5
2017-W19,2017-05-08,126571.2,80873.4,17241.82,12169.32,4590.03,5896.55,0,0,0.8949,18.5
2017-W20,2017-05-15,129501.29,83233.72,11726.86,10672.47,2964.23,5893.03,0,0,0.9066,18.5
2017-W21,2017-05-22,133195.54,77259.11,17153.02,12848.65,4029.26,10575.5,0,0,0.8668,18.5
2017-W22,2017-05-29,149090.57,85163.87,12628.45,13665.64,1955.92,6756.98,0,0,0.8964,18.5
2017-W23,2017-06-05,147269.61,88922.85,16673.67,15082.27,3264.18,6494.88,0,0,0.8994,17.0
2017-W24,2017-06-12,154709.13,92025.68,17370.22,15216.5,4069.39,5460.91,0,0,0.8243,17.0
2017-W25,2017-06-19,144890.82,82039.13,16197.35,15306.06,4477.57,5575.09,0,0,0.7468,17.0
2017-W26,2017-06-26,152838.41,74902.47,16701.18,12652.14,4191.63,8672.18,0,0,0.7476,17.0
2017-W27,2017-07-03,159685.16,85982.98,19672.26,15360.31,1820.49,7485.1,0,0,0.74,16.5
2017-W28,2017-07-10,151479.82,83139.65,20541.78,14537.28,2709.13,9035.06,0,0,0.7372,16.5
2017-W29,2017-07-17,161712.21,79216.73,16987.1,13266.26,1781.55,9703.44,0,0,0.7374,16.5
2017-W30,2017-07-24,151245.14,80223.39,17743.19,14314.6,1916.92,11492.82,0,0,0.7477,16.5
2017-W31,2017-07-31,156429.01,84413.66,21836.31,12611.1,3621.76,7050.93,0,0,0.7869,16.5
2017-W32,2017-08-07,158105.0,93202.03,12712.25,13146.35,3820.86,10588.04,0,0,0.7435,17.5
2017-W33,2017-08-14,150644.62,85970.34,11312.08,15152.19,4012.21,10420.53,0,0,0.6979,17.5
2017-W34,2017-08-21,172063.66,93675.41,10749.32,17152.1,4296.98,7623.65,0,0,0.6557,17.5
2017-W35,2017-08-28,162867.09,81069.98,17506.76,18229.3,3933.14,10305.9,0,0,0.6689,17.5
2017-W36,2017-09-04,170582.45,82852.94,15649.31,15320.78,4099.27,11740.01,1,0,0.7204,19.0
2017-W37,2017-09-11,178295.62,85676.56,19639.25,14290.51,1851.85,8634.59,0,0,0.7045,19.0
2017-W38,2017-09-18,180029.94,77091.54,19000.67,16115.17,2296.2,11534.87,0,0,0.6059,19.0
2017-W39,2017-09-25,184910.03,71770.87,14853.75,12961.67,3480.5,9763.95,0,0,0.5398,19.0
2017-W40,2017-10-02,177580.98,85313.04,26642.58,20163.35,4248.4,11693.07,0,0,0.5087,21.0
2017-W41,2017-10-09,175610.03,111206.09,26291.89,19199.73,1725.92,15227.44,1,0,0.5,21.0
2017-W42,2017-10-16,182135.09,118225.54,18564.13,14577.49,3130.18,11791.13,0,0,0.5,21.0
2017-W43,2017-10-23,163473.8,133248.57,18866.01,12238.06,3688.37,13975.59,0,0,0.5,21.0
2017-W44,2017-10-30,168602.0,139904.83,18135.17,19925.55,1773.24,11029.45,1,0,0.5,21.0
2017-W45,2017-11-06,206749.18,134454.83,15579.02,14192.58,2792.73,13604.41,0,0,0.514,22.0
2017-W46,2017-11-13,214498.48,140161.28,15042.27,14419.88,4326.54,13017.05,1,0,0.5,22.0
2017-W47,2017-11-20,239910.49,121148.0,27259.93,15110.21,3731.17,9928.63,1,1,0.5,22.0
2017-W48,2017-11-27,221225.98,110577.92,21320.29,13581.62,2399.53,10330.22,0,0,0.5,22.0
2017-W49,2017-12-04,261810.54,124787.4,19577.83,14548.25,4178.32,9747.84,0,0,0.5,23.0
2017-W50,2017-12-11,296929.38,133755.69,24719.77,19737.46,2753.01,7747.56,0,0,0.5,23.0
2017-W51,2017-12-18,268592.25,123108.21,22734.66,13659.43,4197.68,6685.41,0,0,0.5,23.0
2017-W52,2017-12-25,293180.01,124598.83,28413.98,20328.11,2606.72,8688.48,1,0,0.5,23.0
2018-W01,2018-01-01,156274.55,114339.5,21625.72,18983.63,3401.3,6155.17,1,0,0.5091,23.5
2018-W02,2018-01-08,166786.74,112392.43,16996.29,14571.54,2860.89,6147.24,0,0,0.5,23.5
2018-W03,2018-01-15,159873.85,105736.84,15065.76,11057.52,2467.52,9502.63,0,0,0.5717,23.5
2018-W04,2018-01-22,169217.11,97267.22,22099.44,13229.73,4283.05,10574.47,0,0,0.5648,23.5
2018-W05,2018-01-29,185741.81,90570.74,19928.04,10249.27,2276.93,11132.55,0,0,0.5159,23.5
2018-W06,2018-02-05,165828.62,86917.16,22403.54,11019.06,1868.28,8799.31,0,0,0.5211,24.0
2018-W07,2018-02-12,196720.13,88880.63,12782.27,16075.06,2619.19,11419.88,1,0,0.5,24.0
2018-W08,2018-02-19,196434.72,94566.25,20123.75,18393.74,3783.88,10559.94,0,0,0.5,24.0
2018-W09,2018-02-26,187418.76,90274.32,18663.45,17534.33,4111.49,7452.14,0,0,0.5,24.0
2018-W10,2018-03-05,209269.54,83148.81,12262.58,13501.43,4701.8,6470.56,0,0,0.5,23.0
2018-W11,2018-03-12,236839.08,77937.42,16898.48,14901.89,2624.18,9423.27,0,0,0.5,23.0
2018-W12,2018-03-19,229654.44,84476.48,18767.93,15604.01,2855.03,7335.81,0,0,0.5162,23.0
2018-W13,2018-03-26,245304.59,90464.91,10962.82,13344.34,2053.22,8611.29,1,0,0.5649,23.0
2018-W14,2018-04-02,244660.87,80431.0,15096.24,14464.84,3327.28,11964.6,0,0,0.6245,21.0
2018-W15,2018-04-09,274957.55,72632.88,20169.23,9871.76,4659.1,7211.65,0,0,0.6476,21.0
2018-W16,2018-04-16,246028.58,77731.69,14569.69,9621.16,3835.6,5623.56,1,0,0.7039,21.0
2018-W17,2018-04-23,235098.29,72335.65,15688.03,12049.17,3477.42,10926.75,0,0,0.6302,21.0
2018-W18,2018-04-30,259515.33,82128.24,15660.97,10129.68,2850.98,10332.2,1,0,0.6193,21.0
2018-W19,2018-05-07,263387.66,78696.46,13972.27,9379.13,4388.45,7377.73,0,0,0.5865,18.5
2018-W20,2018-05-14,287501.95,72964.96,21117.14,14442.08,3210.17,10966.02,0,0,0.5933,18.5
2018-W21,2018-05-21,281225.68,84494.88,20543.1,17689.9,2063.61,12120.39,0,0,0.5725,18.5
2018-W22,2018-05-28,275618.76,77457.05,12408.53,15523.71,2699.32,10459.34,0,0,0.568,18.5
2018-W23,2018-06-04,300024.0,74914.34,21825.69,16922.04,1836.47,10391.52,0,0,0.6455,17.0
2018-W24,2018-06-11,252513.32,70512.3,21824.25,18691.39,2197.76,8276.16,0,0,0.6404,17.0
2018-W25,2018-06-18,266274.63,66668.41,14680.54,12609.32,1662.89,6199.77,0,0,0.6588,17.0
2018-W26,2018-06-25,263824.79,62090.85,20244.84,12629.69,2942.98,8737.33,0,0,0.6512,17.0
2018-W27,2018-07-02,277738.13,59571.5,12313.76,12192.46,3550.77,7826.6,0,0,0.656,16.5
2018-W28,2018-07-09,261128.19,60192.88,21836.32,9517.38,2707.42,9721.03,0,0,0.6579,16.5
2018-W29,2018-07-16,305468.03,58202.66,19263.66,13849.59,2896.52,11419.83,0,0,0.6776,16.5
2018-W30,2018-07-23,291391.21,67564.74,18691.05,13010.07,4522.45,7105.9,0,0,0.7258,16.5
2018-W31,2018-07-30,268726.38,75909.61,11888.95,12958.64,3982.01,9061.35,0,0,0.7931,16.5
2018-W32,2018-08-06,281631.81,76009.33,20547.74,10388.84,3321.67,7559.16,0,0,0.8065,17.5
2018-W33,2018-08-13,313579.58,74566.35,11430.16,9602.95,2519.71,10889.04,0,0,0.831,17.5
2018-W34,2018-08-20,328769.5,77286.97,12604.46,15098.01,4316.98,8333.15,0,0,0.7859,17.5
